Transaction_Amount,Timestamp,Geo_Location,IP_Address,Merchant_MCC,Account_CurrentBalance,Client_IBAN,Counterparty_IBAN,Transaction_Type
"12554,38",2024-01-01 06:50:00,"Frankfurt, Germany (50.1109, 8.6821)",19.145.70.17,5992,"154096,31",DE85538483994235988126,DE98525832950016740395,INTERNAL_TRANSFER
"5030,15",2024-01-01 08:59:00,"Hong Kong (22.3193, 114.1694)",30.166.191.141,5975,"90574,61",DE71936767910116526716,DE88295498411142177571,WIRE_TRANSFER
"13954,79",2024-01-01 09:17:00,"Hong Kong (22.3193, 114.1694)",23.59.46.47,7999,"104656,24",DE34658912085920893419,DE62458731926211764545,BILL_PAYMENT
"523,23",2024-01-01 11:11:00,"New York, USA (40.7128, -74.0060)",35.51.192.200,5812,"26913,54",DE85863193008687593586,DE61076526144982519826,CARD_PAYMENT
"12279,81",2024-01-01 12:03:00,"Dubai, UAE (25.2048, 55.2708)",52.106.131.76,5912,"64976,65",DE62695986758587422675,DE29573532540948934521,BILL_PAYMENT
"3287,16",2024-01-01 14:53:00,"Panama City, Panama (8.9824, -79.5199)",251.96.215.179,7996,"187586,52",DE22965687203229836394,DE51490111373988265135,BILL_PAYMENT
"11481,26",2024-01-01 18:11:00,"Frankfurt, Germany (50.1109, 8.6821)",224.163.179.29,5971,"42968,37",DE29681775483909919426,DE50923048645848773451,CARD_PAYMENT
"7839,79",2024-01-02 01:17:00,"Nassau, Bahamas (25.0343, -77.3963)",2.192.136.239,6010,"3424,4",DE90560471705949841936,DE12998142403927449957,CARD_PAYMENT
"7536,07",2024-01-02 21:08:00,"Toronto, Canada (43.6532, -79.3832)",119.140.198.206,7802,"112597,87",DE49541338466289641717,DE98525832950016740395,SEPA
"12682,28",2024-01-03 05:05:00,"Toronto, Canada (43.6532, -79.3832)",57.123.235.157,6529,"33759,49",DE58847528925395882749,DE80424971056387621024,SEPA
"5143,08",2024-01-03 06:51:00,"London, UK (51.5074, -0.1278)",3.16.149.150,7534,"36118,45",DE09288082463081273872,DE49541338466289641717,BILL_PAYMENT
"1246,96",2024-01-03 17:54:00,"Sydney, Australia (-33.8688, 151.2093)",246.175.187.48,5912,"23859,18",DE80602276804025016525,DE26483789595122698071,BILL_PAYMENT
"5075,81",2024-01-03 21:28:00,"Hong Kong (22.3193, 114.1694)",249.195.144.178,5970,"15864,27",DE41303789475622403641,DE05603506140323737820,ACH
"11194,47",2024-01-03 23:29:00,"Sao Paulo, Brazil (-23.5505, -46.6333)",32.62.123.202,5921,"43484,89",DE13702202126332296617,DE19557991819934999805,CARD_PAYMENT
"7216,89",2024-01-04 02:20:00,"Frankfurt, Germany (50.1109, 8.6821)",207.50.224.201,5976,"177169,97",DE03604977575166816091,DE19958511387882217846,SEPA
"13264,52",2024-01-04 07:27:00,"Dubai, UAE (25.2048, 55.2708)",211.57.251.44,7033,"144296,56",DE13702202126332296617,DE88295498411142177571,BILL_PAYMENT
"694,75",2024-01-04 16:43:00,"Sao Paulo, Brazil (-23.5505, -46.6333)",31.35.180.216,5970,"94104,93",DE03604977575166816091,DE45611004522774697669,WIRE_TRANSFER
"11575,8",2024-01-05 00:40:00,"Singapore (1.3521, 103.8198)",249.103.108.38,8999,"170447,73",DE50923048645848773451,DE61076526144982519826,BILL_PAYMENT
